Key;Time
Right;8,273931
Left;8,690379
Up;9,190207
Down;9,607882
Up;10,06604
Left;11,89915
Right;12,85702
Up;13,35698
Left;13,81605
Down;14,27499
Up;14,73245
Left;15,1902
Right;15,68882
Down;16,64915
Up;17,06548
Down;17,52353
Left;18,44114
Down;18,89898
Left;19,35709
Right;19,81515
Down;20,27393
Right;20,48212
Up;20,7314
Down;21,23298
Right;21,69099
Up;22,14873
Right;22,60737
Left;23,06526
Up;23,97955
Left;24,89849
Right;25,81597
Down;26,24144
Up;26,73228
Left;28,60768
Right;29,02344
Up;29,48236
Down;29,94041
Up;30,14841
Right;31,36536
Left;31,81853
Right;32,27365
Up;32,73198
Down;33,19044
Left;33,64955
Left;33,85707
Up;34,3576
Down;35,02367
Up;35,52465
Right;35,98182
Down;36,39912
Up;36,89882
Down;37,10774
Right;37,3157
Left;37,56544
Up;38,73219
Left;39,19048
Right;39,65189
Down;40,06527
Up;40,52363
Down;40,77343
Right;40,98295
Up;41,23182
Right;41,94122
Left;42,39863
Down;42,89901
Right;43,31667
Left;43,8153
Down;44,27401
Left;44,73235
Right;44,94049
Down;45,44138
Up;46,06544
Right;46,56551
Down;47,02427
Left;47,48429
Up;47,9403
Down;48,19048
Left;48,39877
Down;48,64848
Up;49,14899
Right;49,81564
Left;50,27341
Right;50,73291
Left;51,64916
Up;52,10673
Down;52,31586
Right;53,48212
Left;54,44026
Down;55,35755
Up;55,56599
Right;55,77108
Left;56,02374
Up;56,73232
Left;57,19056
Up;57,64875
Right;58,06505
Up;59,02373
Right;59,23687
Down;59,44057
Up;59,69084
Right;60,14874
Left;60,8155
Up;61,31548
Right;61,7326
Right;62,23232
Up;62,64854
Down;62,89872
Left;63,10675
Up;63,31527
Left;64,02335
Down;64,48193
Up;64,98238
Left;65,44012
Right;66,35765
Up;66,81527
Down;67,02355
Left;68,2331
Down;68,69232
Up;69,1487
Down;69,60719
Up;70,02458
Right;70,53325
Left;70,9834
Down;71,44049
Left;71,89893
Down;72,3578
Left;72,81661
Up;73,77446
Right;74,69122
Left;75,14965
Down;75,56674
Right;75,81526
Left;76,06522
Up;76,52399
Left;76,98205
Down;77,44053
Up;77,90542
Right;78,36449
Left;78,81531
Up;79,27417
Left;79,73224
Down;80,2326
Up;81,14841
Right;81,60698
Left;81,81515
Down;82,06498
Up;82,98206
Right;83,44038
Down;83,64909
Left;83,89865
Up;84,35741
Down;84,77426
Up;85,27402
Right;85,77406
Left;86,19666
Down;86,69052
Right;87,14857
Down;87,35858
Up;87,56567
