Key;Time
Down;8,273931
Left;8,690379
Up;9,190207
Right;9,607882
Up;10,06604
Down;11,89915
Left;12,85702
Up;13,35698
Down;13,81605
Right;14,27499
Up;14,73245
Down;15,1902
Left;15,68882
Up;16,64915
Down;17,06548
Right;17,52353
Up;18,44114
Left;18,89898
Down;19,35709
Right;19,81515
Up;20,27393
Down;20,48212
Left;20,7314
Up;21,23298
Right;21,69099
Up;22,14873
Down;22,60737
Left;23,06526
Up;23,97955
Down;24,89849
Right;25,81597
Up;26,24144
Left;26,73228
Down;28,60768
Up;29,02344
Right;29,48236
Up;29,94041
Left;30,14841
Down;31,36536
Right;31,81853
Up;32,27365
Down;32,73198
Left;33,19044
Up;33,64955
Down;33,85707
Right;34,3576
Down;35,02367
Up;35,52465
Left;35,98182
Down;36,39912
Right;36,89882
Up;37,10774
Left;37,3157
Down;37,56544
Down;38,73219
Up;39,19048
Left;39,65189
Right;40,06527
Down;40,52363
Up;40,77343
Left;40,98295
Right;41,23182
Down;41,94122
Up;42,39863
Left;42,89901
Right;43,31667
Down;43,8153
Up;44,27401
Right;44,73235
Right;44,94049
Down;45,44138
Left;46,06544
Down;46,56551
Up;47,02427
Left;47,48429
Down;47,9403
Up;48,19048
Right;48,39877
Left;48,64848
Up;49,14899
Down;49,81564
Right;50,27341
Up;50,73291
Down;51,64916
Up;52,10673
Left;52,31586
Down;53,48212
Right;54,44026
Up;55,35755
Down;55,56599
Right;55,77108
Up;56,02374
Down;56,73232
Left;57,19056
Up;57,64875
Down;58,06505
Right;59,02373
Up;59,23687
Left;59,44057
Down;59,69084
Right;60,14874
Down;60,8155
Left;61,31548
Up;61,7326
Down;62,23232
Right;62,64854
Up;62,89872
Down;63,10675
Left;63,31527
Down;64,02335
Right;64,48193
Up;64,98238
Down;65,44012
Left;66,35765
Down;66,81527
Up;67,02355
Right;68,2331
Left;68,69232
Down;69,1487
Up;69,60719
Right;70,02458
Up;70,53325
Left;70,9834
Right;71,44049
Down;71,89893
Up;72,3578
Left;72,81661
Down;73,77446
Down;74,69122
Left;75,14965
Up;75,56674
Down;75,81526
Right;76,06522
Up;76,52399
Down;76,98205
Left;77,44053
Right;77,90542
Up;78,36449
Down;78,81531
Left;79,27417
Right;79,73224
Up;80,2326
Down;81,14841
Right;81,60698
Up;81,81515
Down;82,06498
Left;82,98206
Right;83,44038
Up;83,64909
Down;83,89865
Left;84,35741
Right;84,77426
Left;85,27402
Up;85,77406
Down;86,19666
Down;86,69052
Right;87,14857
Up;87,35858
Down;87,56567
