Key;Time
Down;8,273931
Up;8,690379
Down;9,190207
Right;9,607882
Down;10,06604
Up;11,89915
Right;12,85702
Up;13,35698
Down;13,81605
Left;14,27499
Right;14,73245
Up;15,1902
Down;15,68882
Right;16,64915
Right;17,06548
Up;17,52353
Left;18,44114
Up;18,89898
Right;19,35709
Down;19,81515
Left;20,27393
Right;20,48212
Up;20,7314
Down;21,23298
Right;21,69099
Down;22,14873
Up;22,60737
Right;23,06526
Left;23,97955
Down;24,89849
Up;25,81597
Right;26,24144
Up;26,73228
Left;28,60768
Down;29,02344
Up;29,48236
Right;29,94041
Left;30,14841
Down;31,36536
Left;31,81853
Right;32,27365
Up;32,73198
Right;33,19044
Left;33,64955
Down;33,85707
Right;34,3576
Up;35,02367
Down;35,52465
Left;35,98182
Right;36,39912
Up;36,89882
Down;37,10774
Left;37,3157
Down;37,56544
Up;38,73219
Left;39,19048
Right;39,65189
Up;40,06527
Down;40,52363
Left;40,77343
Up;40,98295
Right;41,23182
Right;41,94122
Down;42,39863
Right;42,89901
Up;43,31667
Left;43,8153
Down;44,27401
Up;44,73235
Right;44,94049
Down;45,44138
Up;46,06544
Left;46,56551
Down;47,02427
Up;47,48429
Left;47,9403
Right;48,19048
Left;48,39877
Up;48,64848
Down;49,14899
Right;49,81564
Left;50,27341
Up;50,73291
Down;51,64916
Up;52,10673
Right;52,31586
Up;53,48212
Down;54,44026
Right;55,35755
Left;55,56599
Up;55,77108
Up;56,02374
Right;56,73232
Down;57,19056
Up;57,64875
Left;58,06505
Right;59,02373
Down;59,23687
Left;59,44057
Right;59,69084
Up;60,14874
Down;60,8155
Up;61,31548
Down;61,7326
Right;62,23232
Down;62,64854
Left;62,89872
Right;63,10675
Up;63,31527
Down;64,02335
Left;64,48193
Right;64,98238
Up;65,44012
Down;66,35765
Right;66,81527
Down;67,02355
Up;68,2331
Left;68,69232
Up;69,1487
Right;69,60719
Down;70,02458
Left;70,53325
Up;70,9834
Right;71,44049
Up;71,89893
Right;72,3578
Down;72,81661
Up;73,77446
Right;74,69122
Up;75,14965
Down;75,56674
Right;75,81526
Left;76,06522
Up;76,52399
Left;76,98205
Down;77,44053
Up;77,90542
Down;78,36449
Right;78,81531
Up;79,27417
Down;79,73224
Right;80,2326
Left;81,14841
Up;81,60698
Down;81,81515
Right;82,06498
Left;82,98206
Up;83,44038
Right;83,64909
Down;83,89865
Right;84,35741
Left;84,77426
Down;85,27402
Up;85,77406
Left;86,19666
Up;86,69052
Right;87,14857
Down;87,35858
Left;87,56567
