Key;Time
Up;2,824243
Down;3,449905
Left;3,991316
Right;4,408133
Up;4,907718
Down;6,740786
Left;7,69938
Up;8,241406
Down;8,658029
Right;9,159336
Up;9,615966
Left;10,07512
Down;10,53306
Right;10,94967
Up;11,4071
Down;11,86619
Up;12,3239
Right;13,28364
Left;13,74126
Up;14,1573
Down;14,61654
Right;15,11586
Left;15,57509
Up;16,03274
Right;16,94968
Left;17,44921
Up;17,90755
Down;18,78273
Left;19,74085
Right;20,61649
Up;21,11665
Down;21,57476
Right;22,49067
Up;22,94973
Left;23,36589
Right;23,82438
Down;24,28238
Up;24,53237
Left;24,69927
Right;24,94938
Down;26,1578
Up;27,03279
Left;28,03243
Right;28,44945
Up;28,90792
Down;29,82423
Right;30,28276
Left;30,74156
Up;31,69907
Right;32,1579
Left;32,36644
Down;33,4913
Down;34,40877
Up;35,36597
Right;35,57476
Left;35,7824
Up;36,03336
Down;37,24171
Up;38,11603
Right;38,5739
Left;39,03305
Down;39,53276
Down;39,99204
Right;40,90753
Up;41,82434
Right;42,78319
Right;43,1994
Left;43,65859
Down;44,65751
Up;45,0745
Down;45,57415
Right;46,45
Up;46,8654
Down;47,11607
Left;48,28301
Right;49,19907
Up;49,70065
Down;50,15744
Left;50,57479
Down;51,03253
Down;51,99139
Up;52,86604
Left;53,82483
Right;54,03248
Up;54,28257
Down;54,49004
Left;54,94967
Right;55,69915
Up;56,57429
Down;57,49073
Down;57,99111
Up;58,19894
Left;59,32425
Right;59,78332
Up;60,24126
Right;61,1583
Down;61,61584
Up;61,86626
Right;63,0327
Left;63,94953
Up;64,86567
Right;65,3242
Left;65,78289
Down;66,70273
Up;67,61636
Left;68,533
Down;69,49078
Up;69,90732
Left;70,36571
Right;70,82455
Up;71,32497
Down;72,24131
Left;73,15764
Up;74,07411
Down;74,99144
Right;76,36594
Left;76,61658
Up;76,82442
Down;77,78314
Right;78,24104
Left;78,69939
Down;79,15796
Up;79,61581
Down;80,07474
Up;80,53307
Down;81,03297
Left;81,4917
Right;81,94947
Up;82,19955
Down;82,40749
